<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.01	00:26:00	27327.36	27344.86	27303.10	27308.57	30	0	826
2026.02.01	00:27:00	27303.94	27303.94	27237.95	27244.30	30	0	826
2026.02.01	00:28:00	27242.91	27246.25	27205.86	27215.85	30	0	826
2026.02.01	00:29:00	27210.23	27226.16	27174.27	27174.27	30	0	826
2026.02.01	00:30:00	27186.07	27240.37	27174.36	27240.37	30	0	826
2026.02.01	00:31:00	27247.06	27247.65	27211.32	27219.46	30	0	826
2026.02.01	00:32:00	27224.36	27248.45	27206.43	27238.89	30	0	826
2026.02.01	00:33:00	27241.35	27265.88	27241.35	27265.78	30	0	826
2026.02.01	00:34:00	27266.31	27280.53	27253.43	27271.84	30	0	826
2026.02.01	00:35:00	27274.52	27274.52	27228.48	27236.45	30	0	826
2026.02.01	00:36:00	27229.87	27278.81	27229.87	27272.67	30	0	826
2026.02.01	00:37:00	27278.38	27290.45	27247.47	27249.28	30	0	826
2026.02.01	00:38:00	27244.88	27263.83	27241.83	27252.27	30	0	826
2026.02.01	00:39:00	27249.92	27255.09	27225.17	27251.18	30	0	826
2026.02.01	00:40:00	27248.41	27248.45	27182.42	27214.71	30	0	826
2026.02.01	00:41:00	27212.29	27235.67	27185.25	27185.25	30	0	826
2026.02.01	00:42:00	27183.78	27196.18	27146.67	27163.40	30	0	826
2026.02.01	00:43:00	27170.02	27170.02	27115.23	27119.50	30	0	826
2026.02.01	00:44:00	27119.32	27163.54	27113.48	27157.19	30	0	826
2026.02.01	00:45:00	27154.93	27174.06	27140.61	27159.60	30	0	826
2026.02.01	00:46:00	27162.41	27180.87	27157.15	27177.57	30	0	826
2026.02.01	00:47:00	27176.85	27205.51	27176.85	27205.51	30	0	826
2026.02.01	00:48:00	27206.50	27206.50	27153.13	27171.27	30	0	826
2026.02.01	00:49:00	27177.79	27201.06	27171.54	27195.48	30	0	826
2026.02.01	00:50:00	27202.06	27202.06	27145.13	27154.82	30	0	826
2026.02.01	00:51:00	27153.46	27171.01	27145.41	27154.98	30	0	826
2026.02.01	00:52:00	27163.63	27170.75	27130.94	27141.92	30	0	826
2026.02.01	00:53:00	27142.93	27142.93	27092.29	27092.29	30	0	826
2026.02.01	00:54:00	27090.14	27098.97	27057.84	27057.84	30	0	826
2026.02.01	00:55:00	27054.53	27070.36	27032.89	27032.89	30	0	826
2026.02.01	00:56:00	27032.69	27036.21	26994.82	26996.09	30	0	826
2026.02.01	00:57:00	26996.89	27001.58	26975.96	26994.84	30	0	826
2026.02.01	00:58:00	26990.79	27004.84	26981.69	26997.32	30	0	826
2026.02.01	00:59:00	26991.82	27013.07	26982.33	27006.64	30	0	826
2026.02.01	01:00:00	26998.97	27026.20	26998.97	27005.85	30	0	826
2026.02.01	01:01:00	27002.99	27019.15	26991.55	27018.98	29	0	826
2026.02.01	01:02:00	27028.23	27063.99	27028.23	27063.99	30	0	826
2026.02.01	01:03:00	27064.87	27086.59	27063.53	27081.58	30	0	826
2026.02.01	01:04:00	27089.81	27099.44	27058.58	27074.14	30	0	826
2026.02.01	01:05:00	27068.14	27097.12	27054.74	27097.12	30	0	826
2026.02.01	01:06:00	27103.73	27148.19	27103.73	27140.04	30	0	826
2026.02.01	01:07:00	27129.75	27135.64	27113.83	27129.10	30	0	826
2026.02.01	01:08:00	27120.21	27145.30	27119.82	27119.82	30	0	826
2026.02.01	01:09:00	27116.07	27138.25	27099.87	27121.25	30	0	826
2026.02.01	01:10:00	27125.26	27127.43	27101.66	27114.98	30	0	826
2026.02.01	01:11:00	27117.07	27120.48	27098.64	27106.94	30	0	826
2026.02.01	01:12:00	27107.20	27107.20	27071.08	27071.08	29	0	826
2026.02.01	01:13:00	27075.15	27075.15	27041.28	27046.26	30	0	826
2026.02.01	01:14:00	27036.93	27036.93	27003.82	27003.82	30	0	826
2026.02.01	01:15:00	27002.40	27012.93	26951.97	26957.93	30	0	826
2026.02.01	01:16:00	26959.17	26965.22	26933.20	26955.48	30	0	826
2026.02.01	01:17:00	26958.01	27015.52	26957.35	27010.84	30	0	826
2026.02.01	01:18:00	27010.43	27069.69	27010.43	27069.69	30	0	826
2026.02.01	01:19:00	27069.74	27071.30	27034.61	27059.69	30	0	826
2026.02.01	01:20:00	27048.08	27079.27	27034.13	27051.69	30	0	826
2026.02.01	01:21:00	27046.15	27055.25	27024.34	27040.61	29	0	826
2026.02.01	01:22:00	27034.34	27037.67	26996.66	26996.66	30	0	826
2026.02.01	01:23:00	26996.04	27005.22	26958.08	26962.92	30	0	826
2026.02.01	01:24:00	26968.62	26985.60	26949.97	26949.97	30	0	826
2026.02.01	01:25:00	26951.68	26961.89	26922.63	26931.45	30	0	826
2026.02.01	01:26:00	26934.16	26959.24	26934.16	26952.30	30	0	826
2026.02.01	01:27:00	26947.72	26959.53	26929.93	26934.21	30	0	826
2026.02.01	01:28:00	26927.22	26978.16	26922.68	26977.73	30	0	826
2026.02.01	01:29:00	26980.67	26984.28	26947.41	26947.66	30	0	826
2026.02.01	01:30:00	26949.95	26949.95	26917.02	26917.02	30	0	826
2026.02.01	01:31:00	26915.14	26920.74	26881.47	26906.78	30	0	826
2026.02.01	01:32:00	26904.67	26938.04	26901.86	26935.26	30	0	826
2026.02.01	01:33:00	26931.30	26943.43	26919.46	26933.33	30	0	826
2026.02.01	01:34:00	26944.51	26956.18	26925.06	26938.53	29	0	826
2026.02.01	01:35:00	26932.42	26969.29	26932.42	26949.69	30	0	826
2026.02.01	01:36:00	26948.04	26948.04	26901.52	26920.22	30	0	826
2026.02.01	01:37:00	26926.72	26951.18	26925.59	26933.71	29	0	826
2026.02.01	01:38:00	26926.11	26961.68	26926.11	26952.41	30	0	826
2026.02.01	01:39:00	26948.27	26948.27	26913.53	26918.94	30	0	826
2026.02.01	01:40:00	26911.70	26941.25	26905.53	26922.29	30	0	826
2026.02.01	01:41:00	26917.18	26930.31	26893.98	26903.88	30	0	826
2026.02.01	01:42:00	26901.49	26920.82	26873.77	26920.82	30	0	826
2026.02.01	01:43:00	26917.59	26927.52	26901.00	26909.10	30	0	826
2026.02.01	01:44:00	26909.96	26927.52	26899.41	26922.60	30	0	826
2026.02.01	01:45:00	26917.06	26927.18	26901.19	26904.20	30	0	826
2026.02.01	01:46:00	26900.34	26912.92	26879.92	26912.92	30	0	826
2026.02.01	01:47:00	26913.44	26920.87	26891.90	26920.63	30	0	826
2026.02.01	01:48:00	26930.84	26956.65	26926.29	26944.66	29	0	826
2026.02.01	01:49:00	26949.07	26967.43	26930.38	26930.89	30	0	826
2026.02.01	01:50:00	26936.40	26961.75	26927.28	26954.43	30	0	826
2026.02.01	01:51:00	26952.06	26952.12	26898.77	26901.83	30	0	826
2026.02.01	01:52:00	26895.31	26926.38	26881.26	26904.53	30	0	826
2026.02.01	01:53:00	26912.60	26971.95	26910.79	26956.65	30	0	826
2026.02.01	01:54:00	26953.04	26964.38	26923.10	26928.63	30	0	826
2026.02.01	01:55:00	26925.86	26929.09	26889.34	26889.96	30	0	826
2026.02.01	01:56:00	26888.27	26896.38	26861.90	26896.38	30	0	826
2026.02.01	01:57:00	26898.43	26952.47	26898.43	26951.90	30	0	826
2026.02.01	01:58:00	26949.10	26974.54	26940.36	26964.20	30	0	826
2026.02.01	01:59:00	26967.95	26988.46	26963.11	26973.82	30	0	826
2026.02.01	02:00:00	26960.51	26979.94	26951.05	26952.64	30	0	826
2026.02.01	02:01:00	26943.63	26962.42	26925.84	26962.42	30	0	826
2026.02.01	02:02:00	26964.60	26974.49	26946.38	26973.57	30	0	826
2026.02.01	02:03:00	26976.70	26985.09	26950.81	26961.14	30	0	826
2026.02.01	02:04:00	26952.86	26955.80	26911.35	26939.47	30	0	826
2026.02.01	02:05:00	26935.11	26935.11	26913.16	26920.68	30	0	826
2026.02.01	02:06:00	26911.87	26945.79	26906.94	26906.94	30	0	826
2026.02.01	02:07:00	26908.93	26947.21	26891.51	26946.98	30	0	826
2026.02.01	02:08:00	26943.25	26944.21	26924.53	26938.52	30	0	826
2026.02.01	02:09:00	26937.88	26947.80	26916.89	26930.29	30	0	826
2026.02.01	02:10:00	26927.29	26927.29	26873.34	26894.76	30	0	826
2026.02.01	02:11:00	26900.50	26914.79	26860.18	26904.76	30	0	826
2026.02.01	02:12:00	26901.82	26913.23	26857.72	26892.89	30	0	826
2026.02.01	02:13:00	26883.05	26945.68	26878.42	26945.68	30	0	826
2026.02.01	02:14:00	26940.67	26994.41	26936.41	26989.81	30	0	826
2026.02.01	02:15:00	26989.72	26996.12	26958.23	26980.65	30	0	826
2026.02.01	02:16:00	26978.20	26979.61	26932.22	26932.22	30	0	826
2026.02.01	02:17:00	26925.04	26936.72	26919.52	26926.58	30	0	826
2026.02.01	02:18:00	26935.18	26955.46	26921.49	26955.46	30	0	826
2026.02.01	02:19:00	26956.84	26979.61	26920.81	26920.81	30	0	826
2026.02.01	02:20:00	26913.43	26926.89	26900.80	26920.28	30	0	826
2026.02.01	02:21:00	26920.67	26954.28	26908.14	26930.95	30	0	826
2026.02.01	02:22:00	26934.03	26966.44	26928.08	26928.08	30	0	826
2026.02.01	02:23:00	26935.02	26935.04	26908.42	26919.71	30	0	826
2026.02.01	02:24:00	26913.83	26966.41	26913.83	26959.08	30	0	826
2026.02.01	02:25:00	26947.68	26958.27	26911.46	26913.50	30	0	826
2026.02.01	02:26:00	26912.06	26969.17	26908.63	26957.02	30	0	826
2026.02.01	02:27:00	26961.49	26997.67	26955.29	26995.81	30	0	826
2026.02.01	02:28:00	26999.16	27026.56	26999.16	27019.25	30	0	826
2026.02.01	02:29:00	27013.87	27025.07	26987.17	26994.42	29	0	826
2026.02.01	02:30:00	26996.02	26999.69	26960.89	26975.57	30	0	826
2026.02.01	02:31:00	26978.96	27005.31	26967.67	27001.01	30	0	826
2026.02.01	02:32:00	26993.67	27009.83	26981.38	26990.69	30	0	826
2026.02.01	02:33:00	26988.90	26999.84	26959.84	26969.04	30	0	826
2026.02.01	02:34:00	26967.74	26984.43	26952.61	26984.03	30	0	826
2026.02.01	02:35:00	26983.61	26999.46	26962.13	26988.96	30	0	826
2026.02.01	02:36:00	26989.87	26989.87	26923.28	26927.64	30	0	826
2026.02.01	02:37:00	26937.32	26946.08	26905.42	26910.68	30	0	826
2026.02.01	02:38:00	26904.82	26924.16	26884.84	26884.84	30	0	826
2026.02.01	02:39:00	26879.91	26896.66	26868.05	26885.62	30	0	826
2026.02.01	02:40:00	26893.65	26899.14	26860.40	26874.13	30	0	826
2026.02.01	02:41:00	26875.20	26875.20	26840.31	26848.78	30	0	826
2026.02.01	02:42:00	26853.29	26868.13	26828.25	26832.47	30	0	826
2026.02.01	02:43:00	26836.80	26876.53	26833.75	26872.61	30	0	826
2026.02.01	02:44:00	26867.95	26882.58	26854.89	26877.59	30	0	826
2026.02.01	02:45:00	26875.13	26887.59	26845.84	26867.92	30	0	826
2026.02.01	02:46:00	26875.47	26875.47	26844.79	26871.89	30	0	826
2026.02.01	02:47:00	26871.66	26906.56	26868.78	26906.56	30	0	826
2026.02.01	02:48:00	26904.10	26904.10	26850.29	26855.48	30	0	826
2026.02.01	02:49:00	26859.02	26859.62	26837.61	26841.37	30	0	826
2026.02.01	02:50:00	26836.27	26848.94	26820.51	26835.03	30	0	826
2026.02.01	02:51:00	26840.38	26866.80	26836.27	26846.98	30	0	826
2026.02.01	02:52:00	26849.71	26849.71	26825.32	26825.32	30	0	826
2026.02.01	02:53:00	26828.25	26849.04	26823.35	26823.35	30	0	826
2026.02.01	02:54:00	26818.52	26829.63	26793.95	26809.61	30	0	826
2026.02.01	02:55:00	26808.51	26808.51	26747.31	26765.66	30	0	826
2026.02.01	02:56:00	26763.18	26774.99	26742.40	26762.74	30	0	826
2026.02.01	02:57:00	26755.31	26755.60	26734.02	26734.02	29	0	826
2026.02.01	02:58:00	26740.52	26741.57	26723.76	26732.43	30	0	826
2026.02.01	02:59:00	26735.23	26758.03	26728.84	26749.36	30	0	826
2026.02.01	03:00:00	26752.76	26790.05	26738.61	26783.70	30	0	826
2026.02.01	03:01:00	26789.64	26802.80	26772.07	26787.78	30	0	826
2026.02.01	03:02:00	26784.87	26795.59	26774.50	26784.98	30	0	826
2026.02.01	03:03:00	26786.75	26790.60	26754.41	26763.22	30	0	826
2026.02.01	03:04:00	26759.34	26780.72	26749.59	26770.92	30	0	826
2026.02.01	03:05:00	26776.37	26813.76	26756.78	26805.84	30	0	826
2026.02.01	03:06:00	26803.90	26818.17	26790.96	26808.20	30	0	826
2026.02.01	03:07:00	26803.31	26842.28	26792.98	26842.13	30	0	826
2026.02.01	03:08:00	26843.26	26847.69	26815.31	26845.20	30	0	826
2026.02.01	03:09:00	26853.10	26896.71	26853.08	26891.38	30	0	826
2026.02.01	03:10:00	26898.00	26914.27	26880.11	26885.08	30	0	826
2026.02.01	03:11:00	26882.35	26884.24	26840.24	26858.85	30	0	826
2026.02.01	03:12:00	26852.47	26876.42	26849.22	26863.43	30	0	826
2026.02.01	03:13:00	26858.08	26870.13	26846.89	26858.20	30	0	826
2026.02.01	03:14:00	26860.61	26877.02	26856.17	26867.56	30	0	826
2026.02.01	03:15:00	26873.61	26880.96	26854.51	26873.58	30	0	826
2026.02.01	03:16:00	26874.31	26884.29	26850.85	26860.76	30	0	826
2026.02.01	03:17:00	26864.47	26865.69	26825.53	26846.02	30	0	826
2026.02.01	03:18:00	26840.78	26905.73	26834.63	26905.73	30	0	826
2026.02.01	03:19:00	26907.59	26921.86	26896.63	26905.49	30	0	826
2026.02.01	03:20:00	26910.62	26939.21	26891.17	26931.38	30	0	826
2026.02.01	03:21:00	26929.17	26943.01	26891.27	26904.50	30	0	826
2026.02.01	03:22:00	26909.84	26944.66	26907.77	26929.23	30	0	826
2026.02.01	03:23:00	26919.54	26952.38	26901.41	26947.85	30	0	826
2026.02.01	03:24:00	26941.79	26966.04	26941.79	26966.04	30	0	826
2026.02.01	03:25:00	26952.97	26984.49	26937.05	26971.06	30	0	826
2026.02.01	03:26:00	26970.55	27006.53	26970.55	27000.11	30	0	826
2026.02.01	03:27:00	27004.47	27030.67	26995.79	27022.64	30	0	826
2026.02.01	03:28:00	27018.76	27048.08	27018.76	27032.17	30	0	826
2026.02.01	03:29:00	27028.48	27040.78	27007.04	27040.78	30	0	826
2026.02.01	03:30:00	27044.39	27085.17	27044.39	27060.37	30	0	826
2026.02.01	03:31:00	27066.27	27089.19	27056.47	27080.97	30	0	826
2026.02.01	03:32:00	27079.48	27081.00	27056.34	27061.09	30	0	826
2026.02.01	03:33:00	27058.80	27070.61	27029.64	27029.64	30	0	826
2026.02.01	03:34:00	27027.55	27037.40	27006.64	27037.40	30	0	826
2026.02.01	03:35:00	27033.83	27056.97	27020.15	27020.15	30	0	826
2026.02.01	03:36:00	27030.13	27035.63	27003.43	27030.30	30	0	826
2026.02.01	03:37:00	27030.28	27057.43	27027.95	27055.45	30	0	826
2026.02.01	03:38:00	27052.40	27106.02	27052.40	27090.39	30	0	826
2026.02.01	03:39:00	27095.38	27116.54	27085.19	27098.82	30	0	826
2026.02.01	03:40:00	27100.96	27127.03	27100.93	27117.86	30	0	826
2026.02.01	03:41:00	27120.34	27124.05	27075.83	27081.60	30	0	826
2026.02.01	03:42:00	27082.29	27082.29	27041.99	27051.17	30	0	826
2026.02.01	03:43:00	27049.50	27098.54	27049.50	27053.47	30	0	826
2026.02.01	03:44:00	27053.42	27053.42	27004.29	27030.87	30	0	826
2026.02.01	03:45:00	27026.59	27052.75	27012.04	27046.14	30	0	826
2026.02.01	03:46:00	27045.39	27051.69	27009.90	27009.90	30	0	826
2026.02.01	03:47:00	27005.76	27029.79	26981.84	27010.09	30	0	826
2026.02.01	03:48:00	27014.45	27014.45	26937.75	26937.75	30	0	826
2026.02.01	03:49:00	26936.96	26942.02	26921.36	26937.08	30	0	826
2026.02.01	03:50:00	26939.81	26975.63	26939.81	26956.17	30	0	826
2026.02.01	03:51:00	26950.48	26953.03	26908.11	26908.11	30	0	826
2026.02.01	03:52:00	26901.46	26922.85	26895.47	26896.29	30	0	826
2026.02.01	03:53:00	26905.09	26916.88	26891.43	26916.69	30	0	826
2026.02.01	03:54:00	26917.56	26922.65	26900.17	26922.06	30	0	826
2026.02.01	03:55:00	26925.19	26925.19	26893.43	26906.45	30	0	826
2026.02.01	03:56:00	26903.72	26944.90	26902.68	26927.19	30	0	826
2026.02.01	03:57:00	26926.46	26926.46	26893.77	26893.77	30	0	826
2026.02.01	03:58:00	26894.70	26895.97	26883.71	26889.78	30	0	826
2026.02.01	03:59:00	26885.27	26896.50	26858.35	26858.35	30	0	826
2026.02.01	04:00:00	26855.10	26882.99	26853.75	26882.99	30	0	826
2026.02.01	04:01:00	26885.24	26885.24	26845.15	26849.22	30	0	826
2026.02.01	04:02:00	26858.52	26865.06	26831.24	26862.20	30	0	826
2026.02.01	04:03:00	26866.54	26886.13	26866.54	26879.61	30	0	826
2026.02.01	04:04:00	26878.94	26899.23	26873.34	26889.39	30	0	826
2026.02.01	04:05:00	26885.89	26898.31	26866.34	26867.89	30	0	826
2026.02.01	04:06:00	26869.13	26875.18	26843.23	26855.89	30	0	826
2026.02.01	04:07:00	26856.02	26857.20	26810.88	26815.87	30	0	826
2026.02.01	04:08:00	26813.99	26835.86	26803.11	26815.26	30	0	826
2026.02.01	04:09:00	26808.56	26838.80	26802.94	26820.68	30	0	826
2026.02.01	04:10:00	26823.09	26823.09	26787.26	26812.55	30	0	826
2026.02.01	04:11:00	26820.43	26832.88	26807.65	26823.76	30	0	826
2026.02.01	04:12:00	26829.05	26854.61	26817.86	26854.61	30	0	826
2026.02.01	04:13:00	26846.49	26852.37	26821.75	26821.75	30	0	826
2026.02.01	04:14:00	26829.36	26896.32	26829.36	26865.59	30	0	826
2026.02.01	04:15:00	26865.37	26881.17	26856.22	26856.22	30	0	826
2026.02.01	04:16:00	26853.77	26897.29	26842.07	26897.29	30	0	826
2026.02.01	04:17:00	26891.62	26936.16	26891.62	26936.16	30	0	826
2026.02.01	04:18:00	26934.43	26956.81	26927.99	26941.49	30	0	826
2026.02.01	04:19:00	26937.78	26937.78	26887.31	26919.32	30	0	826
2026.02.01	04:20:00	26916.28	26931.66	26896.74	26929.15	30	0	826
2026.02.01	04:21:00	26935.48	26949.40	26925.97	26949.40	30	0	826
2026.02.01	04:22:00	26944.16	26991.38	26928.46	26977.15	30	0	826
2026.02.01	04:23:00	26970.81	26970.81	26931.20	26952.11	30	0	826
2026.02.01	04:24:00	26957.51	26968.12	26943.87	26965.32	30	0	826
2026.02.01	04:25:00	26965.26	26969.27	26933.16	26943.89	30	0	826
2026.02.01	04:26:00	26937.82	26937.82	26887.81	26894.81	30	0	826
2026.02.01	04:27:00	26888.29	26938.54	26888.29	26938.54	30	0	826
2026.02.01	04:28:00	26941.11	26984.04	26932.85	26966.04	30	0	826
2026.02.01	04:29:00	26970.57	26970.57	26942.82	26945.62	30	0	826
2026.02.01	04:30:00	26945.90	26956.32	26913.23	26932.41	30	0	826
2026.02.01	04:31:00	26932.47	26960.16	26932.47	26960.16	29	0	826
2026.02.01	04:32:00	26957.01	26960.58	26918.55	26933.21	29	0	826
2026.02.01	04:33:00	26941.04	26975.84	26941.04	26963.66	30	0	826
2026.02.01	04:34:00	26964.86	26967.76	26934.11	26944.51	30	0	826
2026.02.01	04:35:00	26945.32	26946.25	26913.68	26916.55	30	0	826
2026.02.01	04:36:00	26918.04	26926.78	26908.20	26915.23	30	0	826
2026.02.01	04:37:00	26915.09	26953.68	26889.98	26953.07	30	0	826
2026.02.01	04:38:00	26954.44	26991.76	26949.59	26978.96	30	0	826
2026.02.01	04:39:00	26980.61	26987.64	26940.14	26972.21	30	0	826
2026.02.01	04:40:00	26982.44	27015.99	26981.18	27005.72	30	0	826
2026.02.01	04:41:00	27013.66	27060.93	27013.66	27049.64	30	0	826
2026.02.01	04:42:00	27041.77	27050.16	27024.84	27027.22	30	0	826
2026.02.01	04:43:00	27019.47	27019.47	26976.48	26995.22	30	0	826
2026.02.01	04:44:00	26997.34	26999.93	26977.31	26983.45	30	0	826
2026.02.01	04:45:00	26982.12	27010.39	26971.34	26999.24	30	0	826
2026.02.01	04:46:00	26995.01	27007.74	26967.18	26967.18	30	0	826
2026.02.01	04:47:00	26968.24	26970.52	26934.58	26944.25	30	0	826
2026.02.01	04:48:00	26936.73	26983.30	26930.58	26983.30	30	0	826
2026.02.01	04:49:00	26987.19	26997.09	26972.78	26972.78	30	0	826
2026.02.01	04:50:00	26972.82	26980.40	26948.86	26948.86	30	0	826
2026.02.01	04:51:00	26953.88	26972.92	26938.16	26972.92	30	0	826
2026.02.01	04:52:00	26975.15	26989.45	26964.68	26989.45	30	0	826
2026.02.01	04:53:00	26989.33	27009.41	26989.33	27005.02	30	0	826
2026.02.01	04:54:00	27004.21	27025.11	26986.00	26996.61	30	0	826
2026.02.01	04:55:00	26989.17	27003.02	26963.87	26971.50	30	0	826
2026.02.01	04:56:00	26964.78	26978.45	26954.28	26956.41	30	0	826
2026.02.01	04:57:00	26949.63	26987.67	26948.75	26978.36	30	0	826
2026.02.01	04:58:00	26970.19	26977.80	26945.12	26947.64	30	0	826
2026.02.01	04:59:00	26952.36	26991.26	26942.47	26985.70	30	0	826
2026.02.01	05:00:00	26988.32	27002.21	26970.72	26981.94	30	0	826
2026.02.01	05:01:00	26970.95	26970.95	26941.76	26957.87	30	0	826
2026.02.01	05:02:00	26952.94	26957.47	26935.23	26937.43	30	0	826
2026.02.01	05:03:00	26942.27	26950.86	26919.48	26932.41	30	0	826
2026.02.01	05:04:00	26929.90	26950.77	26924.33	26949.67	30	0	826
2026.02.01	05:05:00	26948.45	26955.25	26930.00	26948.57	30	0	826
2026.02.01	05:06:00	26947.73	26975.00	26943.39	26955.93	30	0	826
2026.02.01	05:07:00	26958.08	26966.70	26943.72	26959.50	30	0	826
2026.02.01	05:08:00	26955.97	26962.89	26934.62	26953.52	30	0	826
2026.02.01	05:09:00	26950.36	26969.59	26950.36	26951.51	30	0	826
2026.02.01	05:10:00	26960.30	26970.73	26946.86	26949.25	30	0	826
2026.02.01	05:11:00	26947.88	26949.85	26924.62	26939.50	30	0	826
2026.02.01	05:12:00	26942.42	26950.93	26923.42	26948.98	30	0	826
2026.02.01	05:13:00	26946.35	26975.39	26931.75	26933.31	30	0	826
2026.02.01	05:14:00	26934.14	26951.81	26928.21	26942.15	30	0	826
2026.02.01	05:15:00	26946.08	26946.08	26923.16	26923.54	30	0	826
2026.02.01	05:16:00	26925.21	26941.95	26899.12	26900.85	30	0	826
2026.02.01	05:17:00	26901.68	26923.81	26856.03	26870.02	30	0	826
2026.02.01	05:18:00	26864.43	26867.27	26844.30	26851.69	30	0	826
2026.02.01	05:19:00	26854.29	26866.14	26828.69	26834.58	30	0	826
2026.02.01	05:20:00	26835.73	26878.13	26835.73	26861.71	30	0	826
2026.02.01	05:21:00	26860.24	26881.24	26846.37	26879.35	30	0	826
2026.02.01	05:22:00	26884.70	26892.55	26852.84	26858.99	30	0	826
2026.02.01	05:23:00	26852.71	26862.77	26833.36	26835.62	30	0	826
2026.02.01	05:24:00	26830.34	26881.75	26829.68	26873.14	30	0	826
2026.02.01	05:25:00	26861.90	26883.36	26861.90	26883.36	29	0	826
2026.02.01	05:26:00	26884.36	26895.07	26851.26	26853.66	30	0	826
2026.02.01	05:27:00	26844.58	26861.66	26823.33	26823.33	30	0	826
2026.02.01	05:28:00	26820.56	26838.22	26803.90	26818.61	30	0	826
2026.02.01	05:29:00	26814.98	26819.76	26790.79	26797.48	30	0	826
2026.02.01	05:30:00	26795.20	26830.45	26795.20	26829.64	30	0	826
2026.02.01	05:31:00	26833.98	26868.75	26829.14	26868.75	30	0	826
2026.02.01	05:32:00	26870.40	26893.46	26868.53	26887.87	30	0	826
2026.02.01	05:33:00	26892.88	26892.88	26830.97	26830.97	30	0	826
2026.02.01	05:34:00	26833.70	26862.80	26826.25	26831.07	30	0	826
2026.02.01	05:35:00	26836.16	26837.43	26797.47	26829.56	30	0	826
2026.02.01	05:36:00	26825.12	26828.36	26797.25	26797.25	30	0	826
2026.02.01	05:37:00	26793.59	26821.36	26788.72	26803.61	30	0	826
2026.02.01	05:38:00	26805.20	26828.70	26805.20	26807.86	30	0	826
2026.02.01	05:39:00	26816.15	26844.73	26806.80	26844.44	30	0	826
2026.02.01	05:40:00	26843.37	26843.37	26812.22	26812.22	30	0	826
2026.02.01	05:41:00	26814.90	26815.03	26794.28	26811.49	30	0	826
2026.02.01	05:42:00	26806.14	26813.41	26795.82	26810.86	30	0	826
2026.02.01	05:43:00	26814.50	26855.32	26814.50	26852.14	30	0	826
2026.02.01	05:44:00	26850.25	26874.54	26838.42	26870.93	30	0	826
2026.02.01	05:45:00	26879.32	26882.60	26845.53	26854.69	30	0	826
2026.02.01	05:46:00	26858.15	26859.69	26801.73	26801.73	30	0	826
2026.02.01	05:47:00	26809.14	26842.11	26803.74	26812.69	30	0	826
2026.02.01	05:48:00	26819.87	26831.05	26797.50	26797.50	30	0	826
2026.02.01	05:49:00	26800.34	26816.46	26781.72	26785.25	30	0	826
2026.02.01	05:50:00	26786.24	26828.71	26780.77	26828.71	30	0	826
2026.02.01	05:51:00	26831.07	26831.07	26768.88	26768.88	30	0	826
2026.02.01	05:52:00	26766.45	26773.86	26717.52	26717.52	30	0	826
2026.02.01	05:53:00	26721.18	26742.95	26714.98	26724.93	30	0	826
2026.02.01	05:54:00	26738.45	26770.20	26734.45	26755.03	30	0	826
